State Name,Dist Name,Crop,Historical_Avg_Yield_13_17,Trend_Slope,Expected_2018_Yield
Andhra Pradesh,Kurnool,WHEAT,1131.0059999999999,100.60199999999999,1432.8120000000054
Andhra Pradesh,S.P.S. Nellore,BARLEY,0.0,0.0,0.0
Andhra Pradesh,S.P.S. Nellore,CASTOR,526.192,-58.057000000000016,352.0210000000079
Andhra Pradesh,S.P.S. Nellore,CHICKPEA,1621.7559999999999,-162.63899999999998,1133.8389999999781
Andhra Pradesh,S.P.S. Nellore,COTTON,516.0719999999999,-44.853,381.51299999999173
Andhra Pradesh,S.P.S. Nellore,FINGER MILLET,1621.878,15.236999999999995,1667.589
Andhra Pradesh,S.P.S. Nellore,GROUNDNUT,3113.56,62.498000000000005,3301.053999999989
Andhra Pradesh,S.P.S. Nellore,KHARIF SORGHUM,1284.886,-118.28100000000002,930.0430000000051
Andhra Pradesh,S.P.S. Nellore,LINSEED,0.0,0.0,0.0
Andhra Pradesh,S.P.S. Nellore,MAIZE,6805.32,-296.89700000000005,5914.628999999957
Andhra Pradesh,S.P.S. Nellore,MINOR PULSES,626.0559999999999,-97.913,332.3170000000391
Andhra Pradesh,S.P.S. Nellore,OILSEEDS,2503.0799999999995,313.61999999999995,3443.939999999944
Andhra Pradesh,S.P.S. Nellore,PEARL MILLET,2012.2719999999997,140.50399999999996,2433.783999999985
Andhra Pradesh,S.P.S. Nellore,PIGEONPEA,670.9559999999999,-130.666,278.95799999998417
Andhra Pradesh,S.P.S. Nellore,RABI SORGHUM,1791.3059999999998,-395.27700000000004,605.4750000000931
Andhra Pradesh,S.P.S. Nellore,RAPESEED AND MUSTARD,460.9719999999999,14.930000000000039,505.76200000000244
Andhra Pradesh,S.P.S. Nellore,RICE,4240.816000000001,127.6560000000001,4623.784000000014
Andhra Pradesh,S.P.S. Nellore,SAFFLOWER,200.0,-200.00000000000003,0.0
Andhra Pradesh,S.P.S. Nellore,SESAMUM,272.34000000000003,-24.125000000000007,199.9649999999965
Andhra Pradesh,S.P.S. Nellore,SORGHUM,1781.136,-385.921,623.3730000000214
Andhra Pradesh,S.P.S. Nellore,SOYABEAN,1243.7939999999999,-401.242,40.0679999999702
Andhra Pradesh,S.P.S. Nellore,SUGARCANE,9903.358,-84.70199999999988,9649.252000000008
Andhra Pradesh,S.P.S. Nellore,SUNFLOWER,1069.0,28.03200000000002,1153.096000000005
Andhra Pradesh,S.P.S. Nellore,WHEAT,0.0,0.0,0.0
Andhra Pradesh,Srikakulam,BARLEY,0.0,0.0,0.0
Andhra Pradesh,Srikakulam,CASTOR,200.0,200.0,800.0
Andhra Pradesh,Srikakulam,CHICKPEA,1734.3259999999998,-135.953,1326.4670000000042
Andhra Pradesh,Srikakulam,COTTON,518.924,11.033000000000007,552.0229999999974
Andhra Pradesh,Srikakulam,FINGER MILLET,1305.1860000000001,120.031,1665.2789999999804
